,index,unix,date,symbol,open,high,low,close,volume,Volume USD,feature_close,feature_open,feature_high,feature_low,feature_volume,position,real_position,portfolio_valuation,reward
20,21,1646017200,2022-02-28 03:00:00,BTC/USD,37758.97,37907.74,37680.52,37814.44,10.75317702,406625.3672321689,-0.0005273117888297447,-0.0010379632754048452,-0.004048982346426407,-0.0020399614538786424,-0.0003509325059421745,0,0.0,94.45118793966468,0.0
21,22,1646013600,2022-02-28 02:00:00,BTC/USD,38016.74,38126.32,37592.9,37769.4,46.26856875,1747536.08054625,-0.001192499748473655,0.006824837037389972,0.005787224578627188,-0.0023198674058893002,0.0009403218406964367,1,1.0,94.33868907666941,-0.0
22,23,1646010000,2022-02-28 01:00:00,BTC/USD,37593.28,38378.0,37593.28,37992.53,69.55094102,2642416.213230581,0.005872996612755123,-0.011145875254951412,0.006624460124134936,1.0001966175913546e-05,0.0006128144735294016,1,1.0,94.89601303981622,0.5573239631468141
23,24,1646006400,2022-02-28 00:00:00,BTC/USD,37717.1,37827.04,37468.99,37571.16,18.47098706,693976.4101891896,-0.011215251272518477,0.003295612911605596,-0.014664439426411085,-0.0033081225067312496,-0.0013595522193086398,0,0.0,94.89601303981622,0.0
24,25,1646002800,2022-02-27 23:00:00,BTC/USD,37812.91,37824.48,37380.17,37712.68,41.97147903,1582856.9577851002,0.003752584011531315,0.0025405248314361363,-6.788167799259219e-05,-0.002355176030979493,0.0006231456361626912,1,0.9999999999999999,95.25345964954013,0.0
25,26,1645999200,2022-02-27 22:00:00,BTC/USD,37408.05,37934.27,37349.35,37832.76,298.52166601,11293898.544956489,0.003173968803756367,-0.010701307544043854,0.002901982303167773,-0.0008146378958341846,0.006781164973953789,1,0.9999999999999999,95.55675380510577,0.3032941555656379
26,27,1645995600,2022-02-27 21:00:00,BTC/USD,37994.1,38072.57,37015.74,37410.01,194.11884662,7261987.993242666,-0.01130045140324742,0.01566559324629947,0.0036968715057815516,-0.008917666688675052,-0.0027907722930306618,0,0.0,95.55675380510577,0.0
27,28,1645992000,2022-02-27 20:00:00,BTC/USD,37588.0,38303.39,37372.59,37979.83,268.31533936,10190570.97528511,0.01500322671270513,-0.01069251758104232,0.006077436365565609,0.009395776653028686,0.001953576220325367,1,1.0,97.01225059468763,0.0
28,29,1645988400,2022-02-27 19:00:00,BTC/USD,38896.58,38982.43,37538.96,37644.68,187.27258042,7049816.362685165,-0.008902984432328856,0.03476135273297586,0.018038139784957684,0.0044194823810430215,-0.002152834316562128,0,0.0,97.01225059468763,0.0
29,30,1645984800,2022-02-27 18:00:00,BTC/USD,38986.58,39159.23,38808.92,38923.63,41.2804258,1606784.020081654,0.03285793231515142,0.0023122201089672265,0.004542227947393471,0.03262696721760019,-0.0037507332851535176,0,0.0,97.01225059468763,0.0
30,31,1645981200,2022-02-27 17:00:00,BTC/USD,39104.13,39161.56,38952.22,39002.44,19.91679888,776803.7533092673,0.0020206428110652805,0.0030139140012777565,5.9739852173209424e-05,0.0036741291057688415,-0.0005477510360890242,1,1.0,97.20867460419979,0.0
31,32,1645977600,2022-02-27 16:00:00,BTC/USD,39377.9,39474.0,38974.68,39124.56,26.87382651,1051426.6377200854,0.0031213130575780366,0.006997394986678549,0.007985776709054425,0.0005740639639142045,0.00017781740241934989,0,0.0,97.20867460419979,0.0
32,33,1645974000,2022-02-27 15:00:00,BTC/USD,38833.67,39444.91,38758.92,39377.9,41.21555409,1622981.967400611,0.006433557909385817,-0.013820696380457138,-0.0007387392420620832,-0.00547921549904901,0.00036420752706467323,0,0.0,97.20867460419979,0.0
33,34,1645970400,2022-02-27 14:00:00,BTC/USD,39100.84,39204.81,38695.24,38779.41,48.72177752,1889401.7863768635,-0.015433189932492472,0.006889480783745762,-0.006191429936659836,-0.0016421085313056668,0.00019356208436384167,1,1.0,95.73123625264047,-0.0
34,35,1645966800,2022-02-27 13:00:00,BTC/USD,39777.44,39825.36,38614.13,39099.04,131.3803396,5136845.1532339845,0.00817488102009659,0.017304772700301743,0.015871233667118245,-0.0020744754858431453,0.00211408162655656,1,1.0,96.52027804165766,0.7890417890171904
35,36,1645963200,2022-02-27 12:00:00,BTC/USD,39542.34,39886.92,39398.87,39759.92,62.81985166,2497712.276413467,0.01662176382648651,-0.005912989764567078,0.0015482928537078966,0.01973696124137084,-0.0017243618181324314,1,1.0,98.15173296618191,1.631454924524249
36,37,1645959600,2022-02-27 11:00:00,BTC/USD,39400.79,39547.24,39260.71,39520.81,40.40360819,1596783.3225914338,-0.006050230245786981,-0.003581657359755421,-0.00859496553840876,-0.003495879765622301,-0.0005672010130865232,0,0.0,98.15173296618191,0.0
37,38,1645956000,2022-02-27 10:00:00,BTC/USD,39121.67,39468.77,39018.25,39409.65,53.46553373,2107057.9713624944,-0.002820628957628302,-0.007082529278996454,-0.001991136688602948,-0.0061523002614841575,0.00033143977528346476,1,1.0,97.875662039586,-0.0
38,39,1645952400,2022-02-27 09:00:00,BTC/USD,38845.77,39131.14,38797.15,39122.01,37.79784086,1478727.5081033288,-0.007352382968053007,-0.00705229613713614,-0.008630180300040754,-0.005651550112072425,-0.0004004828195177087,0,0.0,97.875662039586,0.0
39,40,1645948800,2022-02-27 08:00:00,BTC/USD,38841.57,38907.25,38659.86,38861.01,10.92947439,424730.41356453387,-0.0067162433503400966,-0.00010807747920080022,-0.00576130162340092,-0.0035328469332114856,-0.0006913965043625989,1,1.0,97.22269078907173,-0.0
40,41,1645945200,2022-02-27 07:00:00,BTC/USD,38814.81,38901.1,38789.91,38837.37,4.59597757,178495.6813977909,-0.0006086920921782144,-0.00068902708911551,-0.00015835263819361235,0.0033485789588739634,-0.00016307738706302716,0,0.0,97.22269078907173,0.0
41,42,1645941600,2022-02-27 06:00:00,BTC/USD,38648.04,38888.88,38646.67,38814.82,27.11931654,1052631.3900231228,-0.0005809636628484406,-0.004296554769544127,-0.0003148282022176366,-0.0036903430184657623,0.0005802767852588264,0,0.0,97.22269078907173,0.0
42,43,1645938000,2022-02-27 05:00:00,BTC/USD,38579.76,38772.01,38482.91,38620.12,14.83129793,572786.5058123516,-0.005041413646565497,-0.001767990363572118,-0.0030261428498926293,-0.004240276829797389,-0.00031817660354240224,1,1.0,96.73500959161592,-0.0
43,44,1645934400,2022-02-27 04:00:00,BTC/USD,38637.15,38694.83,38500.56,38593.13,10.27162952,396414.3333771976,-0.000699347267246923,0.0014870522292438945,-0.0019998377949650703,0.00045733528221199424,-0.00011814715235587269,0,0.0,96.73500959161592,0.0
44,45,1645930800,2022-02-27 03:00:00,BTC/USD,38568.58,38714.84,38557.26,38637.49,18.1144665,699897.5182490849,0.0011481077057541934,-0.0017747012034166742,0.0005178907843132347,0.001467486630213411,0.00020298515716212414,1,1.0,96.84619945948836,0.0
45,46,1645927200,2022-02-27 02:00:00,BTC/USD,38246.62,38593.29,38218.11,38572.65,15.47368734,596861.125975251,-0.0016809838058830934,-0.008346846794295936,-0.00315119650840675,-0.008792499348631775,-6.846247691045337e-05,0,0.0,96.84619945948836,0.0
46,47,1645923600,2022-02-27 01:00:00,BTC/USD,38813.1,38880.04,38233.95,38233.95,60.56183915,2315518.329969142,-0.008858619106841024,0.014816151613945092,0.007499879034209126,0.0004142914870160292,0.001179270041677619,1,1.0,95.99580915037221,-0.0
47,48,1645920000,2022-02-27 00:00:00,BTC/USD,39146.66,39285.02,38741.67,38836.1,45.84388585,1780397.7352591848,0.015504903942465939,0.008588915982809937,0.010427926594070876,0.013073403354095833,-0.0003789760892571602,1,1.0,97.50765599015456,1.5118468397823506
48,49,1645916400,2022-02-26 23:00:00,BTC/USD,39159.91,39183.18,38938.99,39146.66,38.99396999,1526483.6852487335,0.007933243857841383,0.0003384707660883457,-0.002601499080636675,0.005040532193551115,-0.00017498085047357813,0,0.0,97.50765599015456,0.0
49,50,1645912800,2022-02-26 22:00:00,BTC/USD,39483.63,39495.45,39090.94,39182.98,26.92600911,1055041.2764369478,0.0009269330714509132,0.0082617503824363,0.00796953166910727,0.0038779592567998746,-0.0003079898690707036,1,0.9999999999999999,97.5981229179988,0.0
50,51,1645909200,2022-02-26 21:00:00,BTC/USD,39350.19,39681.18,39316.86,39466.34,104.19757217,4112296.8104357575,0.007179789157038462,-0.0033811090666120815,0.004706035573605336,0.005724371705103597,0.001957910539968997,1,0.9999999999999999,98.30392436827245,0.705801450273654
51,52,1645905600,2022-02-26 20:00:00,BTC/USD,39269.54,39466.84,39250.0,39352.48,7.63699169,300534.56274089124,-0.0028933373449397167,-0.002049426109866556,-0.005446670705378766,-0.001699003468142302,-0.002453735583627766,0,0.0,98.30392436827245,0.0
52,53,1645902000,2022-02-26 19:00:00,BTC/USD,39149.58,39444.91,39149.58,39291.0,27.01451635,1061427.36190785,-0.001564734926573597,-0.0030531164897813524,-0.0005581430862027695,-0.0025558015830596894,0.0004931797271639815,1,1.0,98.15034509524666,-0.0
53,54,1645898400,2022-02-26 18:00:00,BTC/USD,39286.02,39293.92,38854.55,39136.15,66.56440318,2605074.4675129573,-0.003956699879778633,0.0034862908078591034,-0.003858069840799497,-0.007538554507788804,0.0010105717304844752,0,0.0,98.15034509524666,0.0
54,55,1645894800,2022-02-26 17:00:00,BTC/USD,39167.58,39334.97,39115.49,39263.74,19.39545545,761538.119970383,0.003249563082885036,-0.0030165236424241565,0.001045493883160466,0.0066458264036995725,-0.0012013360859154019,1,1.0,98.47033064647493,0.0
55,56,1645891200,2022-02-26 16:00:00,BTC/USD,39235.05,39350.41,39094.97,39198.39,6.45366518,252973.28465506015,-0.0016671603093902211,0.0017212441633444936,0.00039389372879861464,-0.0005234908882736459,-0.00033016127116445345,0,0.0,98.47033064647493,0.0
56,57,1645887600,2022-02-26 15:00:00,BTC/USD,39243.9,39373.83,39188.8,39274.16,35.37591264,1389359.2531693827,0.0019292583215020783,0.0002253390015215741,0.0005963208379249423,0.002389102656810527,0.0007364192502143903,1,1.0,98.66067257003567,0.0
57,58,1645884000,2022-02-26 14:00:00,BTC/USD,39118.52,39380.32,38974.68,39249.31,43.99194614,1726653.5315521634,-0.0006331321493296525,-0.0031944510616875726,0.00016535322531779445,-0.005455382527743867,0.00021952063615895414,0,0.0,98.66067257003567,0.0
58,59,1645880400,2022-02-26 13:00:00,BTC/USD,39031.09,39256.14,38926.29,39118.52,20.92867076,818698.625698475,-0.003343429148137529,-0.0022350027557279852,-0.003174455475309401,-0.0012370099891304534,-0.0005895743341005745,1,1.0,98.33190680662645,-0.0
59,60,1645876800,2022-02-26 12:00:00,BTC/USD,38970.73,39065.36,38807.49,39035.0,10.50898556,410218.2513346,-0.002139618291276977,-0.0015463045984371283,-0.004887408735749938,-0.0030434225694889946,-0.0002669318611502498,0,0.0,98.33190680662645,0.0
60,61,1645873200,2022-02-26 11:00:00,BTC/USD,39021.0,39201.58,38830.9,38972.16,35.86850169,1397872.986822951,-0.0016124330804347642,0.0012898951456628731,0.0034953156304398103,0.000600685207081247,0.0006507085090998292,1,1.0,98.17360843276381,-0.0
61,62,1645869600,2022-02-26 10:00:00,BTC/USD,38798.06,39109.76,38798.06,39034.1,21.26312506,829986.949904546,0.0015868176799258868,-0.005711416428200018,-0.0023523022178044252,-0.0008413156701449191,-0.0003741696780507301,1,1.0,98.32963964341072,0.15603121064690129
62,63,1645866000,2022-02-26 09:00:00,BTC/USD,38766.97,38946.63,38600.0,38822.9,22.87484487,888067.8149035231,-0.005440088195369153,-0.0008008160132292153,-0.004201901455069164,-0.0051016281627595484,4.1514668146892694e-05,0,0.0,98.32963964341072,0.0
63,64,1645862400,2022-02-26 08:00:00,BTC/USD,39219.53,39559.22,38695.24,38792.49,57.29722173,2222701.9009888074,-0.0007839146185254799,0.011666175592234417,0.015791458604487718,0.002455114379097551,0.0008873464131846139,1,1.0,98.25261797986789,-0.0
64,65,1645858800,2022-02-26 07:00:00,BTC/USD,39178.0,39240.47,38979.77,39227.4,30.42935501,1193664.480719274,0.01108689334495795,-0.0010586987666783634,-0.008125697854050994,0.007253348424825475,-0.0006849260139596302,1,1.0,99.35414680891766,1.1015288290497693
65,66,1645855200,2022-02-26 06:00:00,BTC/USD,39040.81,39247.96,39027.33,39163.28,29.52211517,1156182.8625949577,-0.0016372479526741025,-0.0035030263042319827,0.0001912505796245351,0.001214402879432084,-2.3165573465756675e-05,1,1.0,99.19174532695892,-0.1624014819587387
66,67,1645851600,2022-02-26 05:00:00,BTC/USD,39385.74,39411.15,38974.68,39054.26,45.84066958,1790273.428351411,-0.0027915008503552954,0.008832071072400303,0.004178545439089162,-0.001348124378748988,0.0004178431343981424,0,0.0,99.19174532695892,0.0
