2024-04-30,18:35:37,None
2024-04-30,18:35:37,Model: "sequential"
2024-04-30,18:35:37,_________________________________________________________________
2024-04-30,18:35:37, Layer (type)                Output Shape              Param #   
2024-04-30,18:35:37,=================================================================
2024-04-30,18:35:37, dense (Dense)               (None, 512)               13824     
2024-04-30,18:35:37,                                                                 
2024-04-30,18:35:37, dense_1 (Dense)             (None, 512)               262656    
2024-04-30,18:35:37,                                                                 
2024-04-30,18:35:37, dense_2 (Dense)             (None, 2)                 1026      
2024-04-30,18:35:37,                                                                 
2024-04-30,18:35:37,=================================================================
2024-04-30,18:35:37,Total params: 277,506
2024-04-30,18:35:37,Trainable params: 277,506
2024-04-30,18:35:37,Non-trainable params: 0
2024-04-30,18:35:37,_________________________________________________________________
2024-04-30,18:35:37,None
2024-04-30,18:35:37,Model: "sequential_1"
2024-04-30,18:35:37,_________________________________________________________________
2024-04-30,18:35:37, Layer (type)                Output Shape              Param #   
2024-04-30,18:35:37,=================================================================
2024-04-30,18:35:37, dense_3 (Dense)             (None, 512)               13824     
2024-04-30,18:35:37,                                                                 
2024-04-30,18:35:37, dense_4 (Dense)             (None, 512)               262656    
2024-04-30,18:35:37,                                                                 
2024-04-30,18:35:37, dense_5 (Dense)             (None, 2)                 1026      
2024-04-30,18:35:37,                                                                 
2024-04-30,18:35:37,=================================================================
2024-04-30,18:35:37,Total params: 277,506
2024-04-30,18:35:37,Trainable params: 277,506
2024-04-30,18:35:37,Non-trainable params: 0
2024-04-30,18:35:37,_________________________________________________________________
2024-04-30,18:35:37,Creating converter from 3 to 5
2024-04-30,18:35:38,i,market_return,pr,Sharpe,score,avg_score,best_score,loss,n_steps,market_return_val,pr_val,score_val, avg_score_val
2024-04-30,18:36:29,0,4.751563585823471,1518.6729897572195,3.4381873039154645,1518.6729897572195,1518.6729897572195,-inf,1.303311824798584,5922,-9.114249037227228,-5.673181522954385,-5.67318152295438, -5.67318152295438
2024-04-30,18:36:29,Creating converter from 5 to 3
2024-04-30,18:37:21,1,4.751563585823471,2033.5240122949067,3.457353252049564,2033.5240122949067,1776.098501026063,1518.6729897572195,2.4798402786254883,11875,-9.114249037227228,-0.5342445700381449,-0.5342445700381404, -3.10371304649626
2024-04-30,18:38:13,2,4.751563585823471,2463.787114021213,3.594506799121034,2463.787114021213,2005.328038691113,2033.5240122949067,1.055788516998291,17828,-9.114249037227228,-2.5207237151905093,-2.5207237151905133, -2.9093832693943447
2024-04-30,18:39:06,3,4.751563585823471,2660.966085813202,3.5929670039846253,2660.966085813202,2169.2375504716356,2463.787114021213,0.5875715613365173,23781,-9.114249037227228,-4.910935267598204,-4.910935267598205, -3.4097712689453097
2024-04-30,18:40:00,4,4.751563585823471,2904.6687687052163,3.6050100535407643,2904.6687687052163,2316.3237941183515,2660.966085813202,1.521100401878357,29734,-9.114249037227228,-7.2408482562775545,-7.240848256277559, -4.1759866664117595
2024-04-30,18:40:54,5,4.751563585823471,2953.726472156087,3.619680960479617,2953.726472156087,2422.5575737913077,2904.6687687052163,0.9247831106185913,35687,-9.114249037227228,-3.33473765648864,-3.3347376564886417, -4.03577849809124
2024-04-30,18:41:50,6,4.751563585823471,2484.1224106326995,3.7218609396222093,2484.1224106326995,2431.352550482935,2953.726472156087,0.5783541798591614,41640,-9.114249037227228,-1.2650326458678474,-1.2650326458678478, -3.639957662059327
2024-04-30,18:42:46,7,4.751563585823471,3282.2329069731068,3.5934821984951566,3282.2329069731068,2537.712595044206,2953.726472156087,1.0534143447875977,47593,-9.114249037227228,-1.691859297216336,-1.6918592972163395, -3.3964453664539533
2024-04-30,18:43:44,8,4.751563585823471,2839.1216302871926,3.632330842688838,2839.1216302871926,2571.202487848982,3282.2329069731068,2.243448257446289,53546,-9.114249037227228,-2.8184411460627112,-2.8184411460627103, -3.332222675299371
