Datetime,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2022-04-18 04:00:00-04:00,165.68,166.5,163.0,164.35,164.35,0,0.0,0.0
2022-04-18 05:00:00-04:00,164.31,164.39,163.51,163.72,163.72,0,0.0,0.0
2022-04-18 06:00:00-04:00,163.73,164.31,163.73,164.29,164.29,0,0.0,0.0
2022-04-18 07:00:00-04:00,164.29,164.96,164.23,164.85,164.85,0,0.0,0.0
2022-04-18 08:00:00-04:00,164.78,164.9,163.5012,164.3,164.3,0,0.0,0.0
2022-04-18 09:00:00-04:00,164.3,165.35,164.24,164.87,164.87,0,0.0,0.0
2022-04-18 09:30:00-04:00,163.9199981689453,166.35549926757812,163.57000732421875,166.14999389648438,166.14999389648438,18871900,0.0,0.0
2022-04-18 10:30:00-04:00,166.14999389648438,166.59840393066406,164.50999450683594,164.6300048828125,164.6300048828125,8329834,0.0,0.0
2022-04-18 11:30:00-04:00,164.6199951171875,164.84530639648438,163.69000244140625,163.7501983642578,163.7501983642578,9703100,0.0,0.0
2022-04-18 12:30:00-04:00,163.75,164.51759338378906,163.6999969482422,164.5050048828125,164.5050048828125,5517483,0.0,0.0
2022-04-18 13:30:00-04:00,164.5,165.82960510253906,164.42990112304688,165.47000122070312,165.47000122070312,7210427,0.0,0.0
2022-04-18 14:30:00-04:00,165.46499633789062,165.66990661621094,164.7899932861328,164.82000732421875,164.82000732421875,5293788,0.0,0.0
2022-04-18 15:30:00-04:00,164.80999755859375,165.1199951171875,163.97999572753906,165.11000061035156,165.11000061035156,6174842,0.0,0.0
2022-04-18 16:00:00-04:00,165.09,166.0,165.03,165.7,165.7,0,0.0,0.0
2022-04-18 17:00:00-04:00,165.7,177.01068,156.30836,165.8,165.8,0,0.0,0.0
2022-04-18 18:00:00-04:00,165.79,165.85,163.91,165.75,165.75,0,0.0,0.0
2022-04-18 19:00:00-04:00,165.75,166.35,165.63,166.22,166.22,0,0.0,0.0
2022-04-19 04:00:00-04:00,166.25,166.25,165.07,165.39,165.39,0,0.0,0.0
2022-04-19 05:00:00-04:00,165.53,165.53,164.16,164.27,164.27,0,0.0,0.0
2022-04-19 06:00:00-04:00,164.27,164.74,164.06,164.67,164.67,0,0.0,0.0
2022-04-19 07:00:00-04:00,164.64,165.18,164.58,164.96,164.96,0,0.0,0.0
2022-04-19 08:00:00-04:00,164.92,166.54,164.0112,165.48,165.48,0,0.0,0.0
2022-04-19 09:00:00-04:00,165.4988,165.63,164.51,164.97,164.97,0,0.0,0.0
2022-04-19 09:30:00-04:00,165.02000427246094,166.50999450683594,163.91000366210938,166.27499389648438,166.27499389648438,16038993,0.0,0.0
2022-04-19 10:30:00-04:00,166.27000427246094,167.44000244140625,166.22000122070312,167.22999572753906,167.22999572753906,8731307,0.0,0.0
2022-04-19 11:30:00-04:00,167.23500061035156,167.4499969482422,166.47999572753906,166.5,166.5,5895181,0.0,0.0
2022-04-19 12:30:00-04:00,166.49000549316406,166.67999267578125,166.1199951171875,166.12669372558594,166.12669372558594,4398224,0.0,0.0
2022-04-19 13:30:00-04:00,166.1300048828125,166.64999389648438,165.85499572753906,166.3699951171875,166.3699951171875,5800651,0.0,0.0
2022-04-19 14:30:00-04:00,166.3699951171875,167.61700439453125,166.14999389648438,167.49000549316406,167.49000549316406,6694082,0.0,0.0
2022-04-19 15:30:00-04:00,167.4949951171875,167.82000732421875,166.94500732421875,167.4600067138672,167.4600067138672,9254646,0.0,0.0
2022-04-19 16:00:00-04:00,167.465,167.465,165.92,166.5,166.5,0,0.0,0.0
2022-04-19 17:00:00-04:00,166.44,166.5,166.16,166.34,166.34,0,0.0,0.0
2022-04-19 18:00:00-04:00,166.34,167.0701,166.31,166.57,166.57,0,0.0,0.0
2022-04-19 19:00:00-04:00,166.555,166.6,166.18,166.45,166.45,0,0.0,0.0
2022-04-20 04:00:00-04:00,166.47,166.8,166.31,166.76,166.76,0,0.0,0.0
2022-04-20 05:00:00-04:00,166.76,167.69,166.69,167.52,167.52,0,0.0,0.0
