2024-04-23,22:39:06,i,market_return,pr,Sharpe,score,avg_score,best_score,loss,n_steps,market_return_val,pr_val,score_val, avg_score_val
2024-04-23,22:39:43,0,10.056173268473456,-20.799703772299495,-3.5557868559672117,-20.799703772299495,-20.799703772299495,-inf,141.9358673095703,5290,-10.332453825857524,0.28759894459102764,0.287598944591025, 0.287598944591025
2024-04-23,22:39:43,Creating converter from 5 to 3
2024-04-23,22:40:17,1,10.056173268473456,32.9800400920361,2.036118016540093,32.98004009203609,6.090168159868298,-20.799703772299495,57.95896911621094,10580,-10.332453825857524,-9.8704640625228,-9.8704640625228, -4.791432558965887
2024-04-23,22:40:51,2,10.056173268473456,58.550353738750175,2.549122262648983,58.550353738750175,23.576896686162257,32.98004009203609,26.50201416015625,15870,-10.332453825857524,-6.5228339360251075,-6.522833936025108, -5.368566351318961
2024-04-23,22:41:24,3,10.056173268473456,27.98632261480487,1.999764967049864,27.986322614804877,24.679253168322912,58.550353738750175,20.08540916442871,21160,-10.332453825857524,-2.7269547968774233,-2.726954796877422, -4.708163462708576
2024-04-23,22:41:58,4,10.056173268473456,40.762193260405176,2.2634502332308957,40.76219326040518,27.895841186739368,58.550353738750175,15.575180053710938,26450,-10.332453825857524,-5.284527300448804,-5.284527300448801, -4.823436230256621
2024-04-23,22:42:32,5,10.056173268473456,32.507817578909595,1.8268311841669727,32.507817578909595,28.66450391876774,58.550353738750175,7.69432258605957,31740,-10.332453825857524,-7.748627897254179,-7.748627897254181, -5.310968174756215
2024-04-23,22:43:08,6,10.056173268473456,52.7830290994473,2.528175869788864,52.783029099447305,32.11000751600768,58.550353738750175,19.299118041992188,37030,-10.332453825857524,-7.495679681471179,-7.495679681471174, -5.623069818572637
2024-04-23,22:43:46,7,10.056173268473456,13.063216881343486,0.8341788662412712,13.063216881343493,29.72915868667465,58.550353738750175,93.5681381225586,42320,-10.332453825857524,-6.133075318233628,-6.133075318233622, -5.68682050603026
2024-04-23,22:44:21,8,10.056173268473456,33.5234073524729,2.624599501081542,33.5234073524729,30.150741871763344,58.550353738750175,3.117938756942749,47610,-10.332453825857524,-8.160816314778941,-8.160816314778941, -5.961708929224558
2024-04-23,22:44:59,9,10.056173268473456,21.915388187372354,1.8575026915132824,21.915388187372358,29.32720650332424,58.550353738750175,4.465686798095703,52900,-10.332453825857524,-7.588378829188125,-7.58837882918813, -6.124375919220915
2024-04-23,22:45:37,10,10.056173268473456,4.799605905346205,0.26990897241177847,4.799605905346198,27.097424630780782,58.550353738750175,2.122774839401245,58190,-10.332453825857524,-8.717652100318919,-8.717652100318915, -6.360128299320734
2024-04-23,22:46:14,11,10.056173268473456,-3.241287052629649,-0.8735782042526016,-3.2412870526296444,24.569198657163252,58.550353738750175,1.99458646774292,63480,-10.332453825857524,-10.408631723917438,-10.408631723917438, -6.697503584703792
2024-04-23,22:46:53,12,10.056173268473456,-1.9222927181256066,-0.5433470059050288,-1.922292718125604,22.531391628294877,58.550353738750175,1.006025791168213,68770,-10.332453825857524,-2.409175462266633,-2.4091754622666315, -6.3676321906701645
2024-04-23,22:47:33,13,10.056173268473456,6.718190290567572,0.39332378353333924,6.718190290567563,21.40187724702864,58.550353738750175,1.434835433959961,74060,-10.332453825857524,-10.332453825857524,-10.332453825857527, -6.65083373604069
2024-04-23,22:48:13,14,10.056173268473456,44.16930561145564,2.3573612090343183,44.169305611455655,22.91970580465711,58.550353738750175,1.6204817295074463,79350,-10.332453825857524,-3.2978343466317006,-3.297834346631703, -6.427300443413425
2024-04-23,22:48:55,15,10.056173268473456,-9.163746852567268,-1.7319680296569788,-9.163746852567272,20.914490013580586,58.550353738750175,1.083747148513794,84640,-10.332453825857524,-5.318221103254062,-5.318221103254061, -6.357982984653464
2024-04-23,22:49:35,16,10.056173268473456,-17.673670344072168,-3.588210355000315,-17.673670344072164,18.64459822783631,58.550353738750175,0.2595928907394409,89930,-10.332453825857524,-11.285148746713746,-11.285148746713745, -6.647816264774657
2024-04-23,22:50:17,17,10.056173268473456,-18.440931731112407,-2.305672507716588,-18.440931731112414,16.584291007894713,58.550353738750175,5.270427703857422,95220,-10.332453825857524,-9.093725476471871,-9.093725476471874, -6.783700109868947
2024-04-23,22:51:00,18,10.056173268473456,5.497279965121615,0.5033007871253756,5.497279965121621,16.000764110906655,58.550353738750175,0.598145067691803,100510,-10.332453825857524,-2.292087382829966,-2.292087382829962, -6.54729944002479
2024-04-23,22:51:44,19,10.056173268473456,-1.328926714424905,-1.2250000504781182,-1.3289267144249095,15.134279569640075,58.550353738750175,0.42581707239151,105800,-10.332453825857524,-1.6158025849759672,-1.6158025849759667, -6.300724597272349
2024-04-23,22:52:28,20,10.056173268473456,6.879754269976668,0.5203117139622476,6.879754269976658,14.741206936322769,58.550353738750175,0.25862669944763184,111090,-10.332453825857524,-0.45155761685614637,-0.4515576168561495, -6.022192836300149
2024-04-23,22:53:12,21,10.056173268473456,32.25464120705715,3.4475983085784576,32.25464120705715,15.53727213044706,58.550353738750175,0.3791426420211792,116380,-10.332453825857524,-7.495929154017855,-7.495929154017858, -6.0891808507418625
2024-04-23,22:53:57,22,10.056173268473456,20.924423950965455,1.391299311252156,20.924423950965448,15.77149612264351,58.550353738750175,2.854917049407959,121670,-10.332453825857524,-9.093725476471871,-9.093725476471874, -6.219813225773603
2024-04-23,22:54:43,23,10.056173268473456,31.763509960683713,1.9962367358434365,31.763509960683706,16.437830032561852,58.550353738750175,0.1271226853132248,126960,-10.332453825857524,-5.138346797579363,-5.138346797579359, -6.174752124598842
