2024-04-23,00:04:31,i,market_return,pr,Sharpe,score,avg_score,best_score,loss,n_steps,pr_val,score_val, avg_score_val
2024-04-23,00:06:15,0,10.056173268473456,28.7169681827798,2.305064649983856,28.716968182779794,28.716968182779794,-inf,188.978759765625,5290,-10.332453825857524,3.04910287197524,3.0491028719752364, 3.0491028719752364
2024-04-23,00:06:15,Creating converter from 5 to 3
2024-04-23,00:06:55,1,10.056173268473456,-1.9488028496297272,-1.6683129391293967,-1.948802849629729,13.384082666575033,28.716968182779794,21.88045310974121,10580,-10.332453825857524,-6.254028017711533,-6.2540280177115335, -1.6024625728681485
2024-04-23,00:07:36,2,10.056173268473456,-16.236700137599613,-4.7300294640951295,-16.236700137599613,3.510488398516818,28.716968182779794,5.510398864746094,15870,-10.332453825857524,-7.3388349762602,-7.338834976260202, -3.514586707332166
2024-04-23,00:08:18,3,10.056173268473456,-15.031547800237433,-5.316097151051229,-15.031547800237433,-1.125020651171745,28.716968182779794,12.11463451385498,21160,-10.332453825857524,-7.659326445087766,-7.659326445087771, -4.5507716417710675
2024-04-23,00:09:00,4,10.056173268473456,-21.910057408323613,-5.167518553680513,-21.91005740832361,-5.282028002602118,28.716968182779794,6.44048547744751,26450,-10.332453825857524,-5.155957479890761,-5.155957479890759, -4.671808809395006
2024-04-23,00:09:42,5,10.056173268473456,-8.586913921766792,-3.139272315196585,-8.586913921766794,-5.832842322462898,28.716968182779794,104.11616516113281,31740,-10.332453825857524,-5.3842624074368235,-5.384262407436822, -4.7905510757353085
2024-04-23,00:10:25,6,10.056173268473456,-14.068813841183248,-4.650564591377506,-14.068813841183243,-7.009409682280089,28.716968182779794,6.138495922088623,37030,-10.332453825857524,-6.161533333928848,-6.161533333928844, -4.986405684048671
2024-04-23,00:11:09,7,10.056173268473456,-16.860142722271743,-5.1389634884436095,-16.860142722271746,-8.240751312279047,28.716968182779794,8.893488883972168,42320,-10.332453825857524,-3.364546531078927,-3.364546531078929, -4.783673289927453
2024-04-23,00:11:53,8,10.056173268473456,-1.286587022017538,-0.8511894068956728,-1.2865870220175424,-7.46806639113888,28.716968182779794,1.8176395893096924,47610,-10.332453825857524,-16.717794787317363,-16.71779478731736, -6.1096867896374425
2024-04-23,00:12:39,9,10.056173268473456,19.54409915427815,1.3408081009772463,19.544099154278157,-4.766849836597176,28.716968182779794,10.683305740356445,52900,-10.332453825857524,-8.452668195362333,-8.452668195362335, -6.343984930209932
2024-04-23,00:13:26,10,10.056173268473456,-0.35072355657651544,-0.38092173067363594,-0.35072355657651144,-4.3653838111407515,28.716968182779794,3.768357276916504,58190,-10.332453825857524,-10.22778923473452,-10.227789234734516, -6.6970580488030755
2024-04-23,00:14:14,11,10.056173268473456,9.091824212029941,0.6150240470415014,9.091824212029948,-3.24394980920986,28.716968182779794,1.590580701828003,63480,-10.332453825857524,-9.64208962258346,-9.642089622583455, -6.942477346618108
2024-04-23,00:15:02,12,10.056173268473456,10.51103883109754,0.8511575271990822,10.511038831097537,-2.1858737599554448,28.716968182779794,1.2331438064575195,68770,-10.332453825857524,-11.153614529662004,-11.153614529662008, -7.266410976083023
2024-04-23,00:15:51,13,10.056173268473456,8.09313302912038,0.7041722694794,8.09313302912038,-1.4516589893071716,28.716968182779794,1.0106697082519531,74060,-10.332453825857524,-12.02897725412788,-12.02897725412788, -7.606594281657656
2024-04-23,00:16:41,14,10.056173268473456,0.8818507624851701,-0.24098789706599535,0.8818507624851719,-1.2960916725210154,28.716968182779794,1.279123306274414,79350,-10.332453825857524,-11.511548188048181,-11.511548188048181, -7.866924542083691
2024-04-23,00:17:32,15,10.056173268473456,10.268423423938344,1.3207617041136548,10.268423423938344,-0.5733094789923054,28.716968182779794,0.46516671776771545,84640,-10.332453825857524,1.533060022326116,1.5330600223261115, -7.279425506808078
2024-04-23,00:18:23,16,10.056173268473456,21.49467159039482,1.842692416421791,21.494671590394816,0.7248070545010546,28.716968182779794,0.27526360750198364,89930,-10.332453825857524,-0.6716081544014929,-0.6716081544014969, -6.89073036843122
2024-04-23,00:19:14,17,10.056173268473456,-18.350430762883274,-4.063013944871277,-18.350430762883278,-0.33492837979807494,28.716968182779794,0.7546301484107971,95220,-10.332453825857524,5.166879073489872,5.166879073489881, -6.220863177213381
2024-04-23,00:20:06,18,10.056173268473456,1.4234530805568468,-0.1643261554194579,1.4234530805568397,-0.24238198714781625,28.716968182779794,0.20499497652053833,100510,-10.332453825857524,1.0486987497940303,1.0486987497940277, -5.838254654739307
2024-04-23,00:20:58,19,10.056173268473456,-15.597641849868637,-4.649907414925827,-15.597641849868637,-1.0101449802838574,28.716968182779794,0.18788960576057434,105800,-10.332453825857524,0.5719517385572637,0.5719517385572743, -5.517744335074478
2024-04-23,00:21:52,20,10.056173268473456,37.89376184735458,2.68033996991386,37.89376184735457,0.8424220115084486,28.716968182779794,0.2962217926979065,111090,-10.332453825857524,-1.232241217058605,-1.2322412170586006, -5.313672758026103
2024-04-23,00:22:46,21,10.056173268473456,14.381393724638581,0.9335240661112088,14.381393724638585,1.4578298166507275,37.89376184735457,0.5165631771087646,116380,-10.332453825857524,-0.01866884999189855,-0.01866884999189722, -5.072990762206366
2024-04-23,00:23:39,22,10.056173268473456,29.75845840024085,2.558773230449381,29.75845840024084,2.6882919289807323,37.89376184735457,0.32149451971054077,121670,-10.332453825857524,0.8437084091698521,0.8437084091698495, -4.815742972146531
