,index,date,hour,holidays,n_weekday,n_hour,open,high,low,close,adj_close,volume,dividends,stock_splits,source10_x,source9_x,source8_x,source7_x,source6_x,source5_x,source4_x,source3_x,source2_x,source1_x,source10_y,source9_y,source8_y,source7_y,source6_y,source5_y,source4_y,source3_y,source2_y,source1_y,feature_close,feature_open,feature_high,feature_low,feature_volume,feature_source10_x,feature_source9_x,feature_source8_x,feature_source7_x,feature_source6_x,feature_source5_x,feature_source4_x,feature_source3_x,feature_source2_x,feature_source1_x,feature_source10_y,feature_source9_y,feature_source8_y,feature_source7_y,feature_source6_y,feature_source5_y,feature_source4_y,feature_source3_y,feature_source2_y,feature_source1_y,position,real_position,portfolio_valuation,Asset_value,Money_fiat,reward
10,13,2022-04-06,17:00:00,0,2,17,171.32,177.65,171.26,171.35,171.35,9910809.0,0.0,0.0,0.0,0.133123,0.128721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147617,-0.05107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011672697573649143,-0.0015164773976490615,0.032378986878634976,0.00035040589040429194,0.0,0.0,0.133123,0.128721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147617,-0.05107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,99.37456920518646,99.37456920518646,0.0,0.0
11,14,2022-04-06,18:00:00,0,2,18,171.35,172.7299,171.0899,171.715,171.715,9910809.0,0.0,0.0,0.16920275,0.0,0.0,0.0404275,0.060768,0.04876925,0.0,0.0,0.0,0.0,0.00114775,0.0,0.0,0.01947775,0.016092,0.0180475,0.0,0.0,0.0,0.0,0.002127877444347207,0.00017509557344770884,-0.02808621970023804,-0.0009937202493560645,0.0,0.16920275,0.0,0.0,0.0404275,0.060768,0.04876925,0.0,0.0,0.0,0.0,0.00114775,0.0,0.0,0.01947775,0.016092,0.0180475,0.0,0.0,0.0,0.0,0,0.0,99.58625124638807,0.0,99.58625124638807,0.2116820412016125
12,15,2022-04-06,19:00:00,0,2,19,171.74,171.77,170.85,170.9,170.9,9910809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004757535643419746,0.0022734569237209622,-0.005572730117864047,-0.0014031707873889989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,99.58625124638807,0.0,99.58625124638807,0.0
13,27,2022-04-07,07:00:00,0,3,7,172.49,172.68,172.01,172.2,172.2,9910809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007578001872085084,0.0043575585321988936,0.005283798038342607,0.006766636096998543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,99.58625124638807,99.58625124638807,0.0,0.0
14,28,2022-04-07,08:00:00,0,3,8,172.27,172.7154,170.96,171.47,171.47,9910809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004248267802870346,-0.0012762503182596609,0.00020498246429414153,-0.006123003647407254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,99.16407956572685,99.16407956572685,0.0,-0.4221716806612221
15,29,2022-04-07,09:00:00,0,3,9,171.160003662109,173.139999389648,171.029998779297,172.080001831055,172.080001831055,16955783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011079,0.0,0.0,0.0,0.0,0.0,0.0035511714094341187,-0.00646420051383937,0.002455359110863349,0.00040936156334609244,0.5369829758564444,0.0,0.0,0.0,0.0,0.060282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011079,0.0,0.0,0.0,0.0,0.0,0,0.0,99.51685422082674,0.0,99.51685422082674,0.3527746550998927
16,30,2022-04-07,10:00:00,0,3,10,172.085006713867,172.389999389648,170.619995117188,170.860000610352,170.860000610352,9035411.0,0.0,0.0,0.320528,0.0,0.0,0.0,0.0,0.14453733333333332,0.0,0.0,0.0,0.0,0.017534666666666667,0.0,0.0,0.0,0.0,-0.027669333333333334,0.0,0.0,0.0,0.0,-0.007114984304486904,0.005389766860646047,-0.004341163896077143,-0.002400139711741701,-0.6294575428072204,0.320528,0.0,0.0,0.0,0.0,0.14453733333333332,0.0,0.0,0.0,0.0,0.017534666666666667,0.0,0.0,0.0,0.0,-0.027669333333333334,0.0,0.0,0.0,0.0,0,0.0,99.51685422082674,0.0,99.51685422082674,0.0
17,31,2022-04-07,11:00:00,0,3,11,170.860000610352,171.535003662109,170.404998779297,170.899993896484,170.899993896484,7261185.0,0.0,0.0,0.20582479999999997,0.041328199999999995,0.0,0.0173488,0.07744480000000001,0.0,0.0,0.0,0.0,0.0,-0.045590200000000004,0.048655,0.0,-0.0024286,0.014313999999999999,0.0,0.0,0.0,0.0,0.0,0.00023404311187610386,-0.007144068509377476,-0.004971999600484865,-0.0012608833383056116,-0.21860837411384734,0.20582479999999997,0.041328199999999995,0.0,0.0173488,0.07744480000000001,0.0,0.0,0.0,0.0,0.0,-0.045590200000000004,0.048655,0.0,-0.0024286,0.014313999999999999,0.0,0.0,0.0,0.0,0.0,0,0.0,99.51685422082674,0.0,99.51685422082674,0.0
18,32,2022-04-07,12:00:00,0,3,12,170.889999389648,171.365295410156,169.850006103516,171.190002441406,171.190002441406,8298192.0,0.0,0.0,0.0,0.0,0.08558025,0.0323035,0.0,0.0,0.0,0.0245235,0.0,0.0,0.0,0.0,-0.055740500000000005,0.0081835,0.0,0.0,0.0,0.00104975,0.0,0.0,0.001695510640485839,0.00017555979150296033,-0.00098984029042041,-0.0032622189828562663,0.13349462109080884,0.0,0.0,0.08558025,0.0323035,0.0,0.0,0.0,0.0245235,0.0,0.0,0.0,0.0,-0.055740500000000005,0.0081835,0.0,0.0,0.0,0.00104975,0.0,0.0,1,1.0,99.51685422082674,99.51685422082674,0.0,0.0
19,33,2022-04-07,13:00:00,0,3,13,171.195007324219,172.255004882812,170.800003051758,171.679992675781,171.679992675781,6745602.0,0.0,0.0,0.32701033333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031236,-0.219552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00243,0.00285817117227852,0.0017832293693646297,0.005178456919637785,0.005577568680570377,-0.20714692277424557,0.32701033333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031236,-0.219552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00243,1,1.0,99.80169729593925,99.80169729593925,0.0,0.28484307511250506
