2024-04-21,21:00:39,i,market_return,pr,Sharpe,score,avg_score,best_score,loss,n_steps,pr_val,score_val, avg_score_val
2024-04-21,21:01:20,0,10.056173268473456,19.127512554363513,1.5522633698448811,19.12751255436352,19.12751255436352,-inf,13.51224422454834,5290,-10.332453825857524,-10.332453825857527, -10.332453825857527
2024-04-21,21:01:20,Creating converter from 5 to 3
2024-04-21,21:02:01,1,10.056173268473456,30.267394212634912,1.5146537744776782,30.267394212634912,24.697453383499216,19.12751255436352,2.149406909942627,10580,-10.332453825857524,-10.332453825857527, -10.332453825857527
2024-04-21,21:02:42,2,10.056173268473456,8.092553253224889,0.7304647662498654,8.092553253224892,19.162486673407773,30.267394212634912,0.3800734281539917,15870,0.28759894459102764,0.287598944591025, -6.79243623570801
2024-04-21,21:03:23,3,10.056173268473456,1.9474666006327412,-0.12215360849390204,1.9474666006327368,14.858731655214015,30.267394212634912,0.49467387795448303,21160,-10.332453825857524,-10.332453825857527, -7.677440633245389
2024-04-21,21:04:05,4,10.056173268473456,3.454629073606097,0.058568190421174234,3.4546290736060996,12.577911138892432,30.267394212634912,0.3871243894100189,26450,-10.332453825857524,-10.332453825857527, -8.208443271767816
2024-04-21,21:04:47,5,10.056173268473456,28.782589354680653,1.3732064530113133,28.782589354680653,15.278690841523803,30.267394212634912,3.5888748168945312,31740,0.28759894459102764,0.287598944591025, -6.79243623570801
2024-04-21,21:05:31,6,10.056173268473456,-3.758679927562514,-1.1915252100988265,-3.758679927562511,12.559066445940044,30.267394212634912,0.366274893283844,37030,-10.332453825857524,-10.332453825857527, -7.298153034300798
2024-04-21,21:06:14,7,10.056173268473456,8.87794080023172,0.6172382348187643,8.877940800231713,12.098925740226502,30.267394212634912,0.45935603976249695,42320,-10.332453825857524,-10.332453825857527, -7.677440633245389
2024-04-21,21:06:59,8,10.056173268473456,-20.42032111051161,-4.019461805981968,-20.42032111051161,8.485676090144489,30.267394212634912,0.06333689391613007,47610,-10.332453825857524,-10.332453825857527, -7.972442099091182
2024-04-21,21:07:44,9,10.056173268473456,-3.1753921999066126,-0.7094895212236548,-3.175392199906611,7.31956926113938,30.267394212634912,0.3852583169937134,52900,0.28759894459102764,0.287598944591025, -7.1464379947229615
2024-04-21,21:08:30,10,10.056173268473456,27.49936759240521,1.5560372386776216,27.49936759240522,9.154096382163546,30.267394212634912,0.15911053121089935,58190,-10.332453825857524,-10.332453825857527, -7.436075797553377
2024-04-21,21:09:16,11,10.056173268473456,-1.3327653335380663,-0.5668842615481503,-1.3327653335380631,8.280191239188413,30.267394212634912,0.10924248397350311,63480,0.28759894459102764,0.287598944591025, -6.79243623570801
2024-04-21,21:10:03,12,10.056173268473456,-10.252798509275118,-1.7955724286762935,-10.252798509275124,6.854576643152756,30.267394212634912,0.07654978334903717,68770,-10.332453825857524,-10.332453825857527, -7.064745281104127
2024-04-21,21:10:50,13,10.056173268473456,31.060814777847412,1.5608040147590834,31.060814777847412,8.583593652773803,30.267394212634912,0.08846909552812576,74060,0.28759894459102764,0.287598944591025, -6.539577836411616
2024-04-21,21:11:37,14,10.056173268473456,16.232886564801152,0.893101046935399,16.23288656480115,9.093546513575626,31.060814777847412,0.08107359707355499,79350,-10.332453825857524,-10.332453825857527, -6.79243623570801
2024-04-21,21:12:26,15,10.056173268473456,6.435009865287844,0.5943798733670923,6.435009865287853,8.927387973057641,31.060814777847412,0.42855143547058105,84640,0.28759894459102764,0.287598944591025, -6.34993403693932
2024-04-21,21:13:16,16,10.056173268473456,19.11879974732422,2.6159032023501645,19.118799747324232,9.526882783308617,31.060814777847412,0.07065500319004059,89930,0.28759894459102764,0.287598944591025, -5.959490920378712
2024-04-21,21:14:06,17,10.056173268473456,24.309776751228807,3.296114255815875,24.309776751228796,10.348154670415292,31.060814777847412,0.06394903361797333,95220,0.28759894459102764,0.287598944591025, -5.612430372324837
2024-04-21,21:14:57,18,10.056173268473456,-6.721362336362691,-2.4613165611265466,-6.721362336362688,9.449759038479609,31.060814777847412,0.040955156087875366,100510,0.28759894459102764,0.287598944591025, -5.301902513539792
2024-04-21,21:15:48,19,10.056173268473456,-12.692470327267113,-3.0561999252062235,-12.692470327267117,8.342647570192273,31.060814777847412,0.09005111455917358,105800,0.28759894459102764,0.287598944591025, -5.022427440633251
2024-04-21,21:16:40,20,10.056173268473456,5.610705902408131,0.5889085062739826,5.610705902408128,8.212555109821599,31.060814777847412,0.0557241290807724,111090,-10.332453825857524,-10.332453825857527, -5.275285839929645
2024-04-21,21:17:33,21,10.056173268473456,19.54905960785758,2.345865890678163,19.549059607857586,8.727850768823236,31.060814777847412,0.04659023880958557,116380,0.28759894459102764,0.287598944591025, -5.022427440633251
2024-04-21,21:18:24,22,10.056173268473456,0.8563905645022185,-0.2630919547262698,0.8563905645022203,8.385613368635365,31.060814777847412,0.05645419657230377,121670,-10.332453825857524,-10.332453825857527, -5.253298153034307
2024-04-21,21:19:17,23,10.056173268473456,-9.382057254502751,-1.5089814853168755,-9.382057254502755,7.645293759337943,31.060814777847412,0.38543346524238586,126960,0.28759894459102764,0.287598944591025, -5.022427440633251
2024-04-21,21:20:09,24,10.056173268473456,66.33687926834955,2.2504703206135264,66.33687926834955,9.992957179698408,31.060814777847412,0.07857850939035416,132250,-10.332453825857524,-10.332453825857527, -5.234828496042223
2024-04-21,21:21:03,25,10.056173268473456,34.42847475896498,1.9095572988441634,34.42847475896497,10.932784778900968,66.33687926834955,0.07194126397371292,137540,-10.332453825857524,-10.332453825857527, -5.430891008727427
